                    ,Path_Length_Hand                        ,Path_Length_Trunk                       ,Spatial_Error_(cm)                      ,Trunk-Corrected_Spatial_Error_(cm)      ,Response_Time_(sec)                     ,Average_Velocity_(cm/sec)               ,#_Velocity_Peaks                        ,Peak_Velocity                           ,%_Movement_at_Peak_Velocity             ,Orientation_Error                       ,Yaw_Error                               ,Pitch_Error                             ,Roll_Error                              ,Distance_Error_at_Best_Orientation_Error,Orientation_Error_at_Best_Distance_Error,Max_Supination                          ,Min_Elbow_Flexion                       ,Supination_at_Min_Elbow_Flexion         ,Elbow_Flexion_at_Max_Supination         ,Elbow_Flexion_at_Best_Distance_Error    ,Distance_Error_at_Min_Elbow_Flexion     ,Supination_at_Best_Distance_Error       ,Distance_Error_at_Max_Supination        
30ReachSideRight    ,0.66531,0.015348,0.29187,0.28386,0.0031238,0.0030954,0.006821,0.067361,0.036108,0.2378,0.57504,0.31137,0.14333,0.17321,0.4793,0.61803,0.15818,0.65562,0.071907,0.12044,0.92289,0.25489,0.30805  
45ReachSideRight    ,0.37115,0.01968,0.16956,0.1689,0.022987,0.34517,0.031397,0.067232,0.78387,0.20725,0.94358,0.2709,0.11121,0.61011,0.50244,0.97493,0.014605,0.7976,0.20805,0.057905,0.66483,0.46344,0.48829       
60ReachSideRight    ,0.57562,0.037109,0.084039,0.08406,0.02392,0.087139,0.028604,0.12728,0.070884,0.10551,0.46435,0.28871,0.47442,0.70209,0.929,0.64616,0.012578,0.64352,0.12325,0.032432,0.72836,0.7824,0.64587     
75ReachSideRight    ,0.68752,0.056519,0.1358,0.13463,0.052934,0.058993,0.035581,0.037608,0.037516,0.41372,0.51777,0.91084,0.90241,0.88018,0.78375,0.30267,0.015652,0.37001,0.098591,0.018243,0.088531,0.2628,0.8814  
HandLumbar          ,0.91967,0.64002,0.45039,0.45039,0.13165,0.015293,0.16319,0.0474,0.95416,0.98407,0.19631,0.25589,0.14785,0.23892,0.43281,0.7718,0.39206,0.52576,0.0346,0.084022,0.77112,0.2241,0.15498           
Handshake           ,0.82808,0.45447,0.69693,0.69018,0.57024,0.14516,0.70406,0.37028,0.074295,0.29343,0.72837,0.51776,0.89783,0.030184,0.21551,0.91719,0.016881,0.12671,0.80696,0.049843,0.91479,0.18371,0.01532     
KeyLockBox          ,0.48468,0.7424,0.96205,0.97679,0.4608,0.95535,0.27614,0.49744,0.97414,0.23319,0.36497,0.43641,0.33493,0.55437,0.82664,0.51137,0.88462,0.7553,0.33828,0.081035,0.4657,0.47157,0.24756            
MailAbd             ,0.60737,0.17246,0.017131,0.0175,0.092485,0.10997,0.13864,0.49492,0.77898,0.6694,0.24163,0.11929,0.53896,0.80597,0.61806,0.39679,0.020113,0.49208,0.14157,0.010606,0.080958,0.22344,0.71254      
MailAdd             ,0.23017,0.27197,0.04164,0.044452,0.29256,0.45376,0.19764,0.70013,0.8712,0.45154,0.69907,0.654,0.53952,0.12309,0.81449,0.84079,0.11243,0.56029,0.13045,0.047077,0.44775,0.86782,0.63163          
MailCtr             ,0.19247,0.020624,0.16145,0.15849,0.10949,0.088154,0.11976,0.70221,0.35088,0.45639,0.3549,0.54367,0.48527,0.26682,0.27319,0.98948,0.087288,0.93546,0.35554,0.0062926,0.3196,0.13342,0.87716      
ReachBeg            ,0.60434,0.34485,0.12063,0.12779,0.8351,0.56547,0.94534,0.50347,0.02862,0.087396,0.5259,0.65525,0.39381,0.24144,0.75999,0.21149,0.56572,0.1906,0.86905,0.85574,0.016195,0.26582,0.24852          
SleevePull          ,0.78576,0.065779,0.01523,0.023018,0.014115,0.0048574,0.017806,0.012457,0.054617,0.6712,0.93214,0.50903,0.63924,0.71665,0.18381,0.44757,0.39069,0.66536,0.65218,0.24379,0.46936,0.37355,0.55939  
SupineMailDiag      ,0.63634,0.1493,0.010112,0.010163,0.011466,0.0067029,0.022283,0.031749,0.30348,0.3776,0.20137,0.18465,0.3787,0.72395,0.50151,0.83583,0.014665,0.50787,0.5163,0.014087,0.35731,0.57359,0.65458    
SupineReachSideExact,0.32306,0.16559,0.61811,0.60168,0.0052545,0.0025862,0.011238,0.052436,0.99568,0.0039147,0.90826,0.047607,0.24464,0.73867,0.36869,0.56631,0.8839,0.39463,0.67847,0.66075,0.53467,0.44495,0.065529
